season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,games_played_post_asg,games_played_pre_asg,win_pct_post_asg,win_pct_pre_asg,wins_post_asg,wins_pre_asg,projected_wins_before_asg,actual_wins,projection_difference,post_asg_win_pct_drop,season_length,avg_starter_minutes_per_game_post_asg,avg_starter_minutes_per_game_pre_asg,avg_starter_minutes_per_player_post_asg,avg_starter_minutes_per_player_pre_asg,total_starter_minutes_post_asg,total_starter_minutes_pre_asg,starter_minutes_change_per_game,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change,win_projection_drop,starter_minutes_drop,players_used_increase,lineup_experimentation_increase,raw_tanking_score,lottery_candidate,tanking_score,score_note
2021-22,1610612740,NOP,New Orleans Pelicans,23,59,0.565217391,0.389830508,13,23,31.966101656000003,36,4.033898343999997,0.175386883,82,152.1557971,161.6045198,30.43115942,32.32090395,3499.583333,9534.666667,-9.448722673,10.95454545,10.96428571,15.22727273,15.60714286,21,23,-0.00974026,-0.37987013,-4.033898343999997,9.448722673,-0.00974026,-0.37987013,5.025213939000004,True,5.025213939000004,Included in tanking score
2022-23,1610612762,UTA,Utah Jazz,22,60,0.363636364,0.483333333,8,29,39.633333306,37,-2.6333333059999973,-0.11969696899999999,82,154.2651515,155.8872222,30.8530303,31.17744444,3393.833333,9353.233333,-1.622070707,10.63636364,10.85714286,14.40909091,14.57142857,20,20,-0.220779221,-0.162337662,2.6333333059999973,1.622070707,-0.220779221,-0.162337662,3.872287129999997,True,3.872287129999997,Included in tanking score
2020-21,1610612740,NOP,New Orleans Pelicans,36,36,0.444444444,0.416666667,16,15,30.000000024,31,0.9999999760000016,0.027777777000000003,72,158.5125,162.5976852,31.7025,32.51953704,5706.45,5853.516667,-4.085185185,10.06666667,10.24,14.0,13.04,19,18,-0.173333333,0.96,-0.9999999760000016,4.085185185,-0.173333333,0.96,3.8718518759999987,True,3.8718518759999987,Included in tanking score
2022-23,1610612761,TOR,Toronto Raptors,23,59,0.565217391,0.474576271,13,28,38.915254222,41,2.0847457779999985,0.09064112000000002,82,170.6608696,176.1480226,34.13217391,35.22960452,3925.2,10392.73333,-5.487153034,10.52173913,10.10714286,12.65217391,13.35714286,16,20,0.414596273,-0.704968944,-2.0847457779999985,5.487153034,0.414596273,-0.704968944,3.1120345850000017,True,3.1120345850000017,Included in tanking score
2020-21,1610612766,CHA,Charlotte Hornets,37,35,0.432432432,0.485714286,16,17,34.971428592,33,-1.9714285920000023,-0.05328185400000002,72,162.1225225,163.0152381,32.4245045,32.60304762,5998.533333,5705.533333,-0.892715573,10.29032258,9.818181818,16.41935484,17.36363636,21,22,0.472140762,-0.944281525,1.9714285920000023,0.892715573,0.472140762,-0.944281525,2.3920034020000025,True,2.3920034020000025,Included in tanking score
2020-21,1610612761,TOR,Toronto Raptors,36,36,0.277777778,0.472222222,10,17,33.999999984,27,-6.999999983999999,-0.19444444400000005,72,168.1904762,167.2342593,33.63809524,33.44685185,5886.666667,6020.433333,0.956216931,9.666666667,11.0,13.33333333,15.75,20,20,-1.333333333,-2.416666667,6.999999983999999,-0.956216931,-1.333333333,-2.416666667,2.293783052999999,True,2.293783052999999,Included in tanking score
2024-25,1610612737,ATL,Atlanta Hawks,27,55,0.518518519,0.472727273,14,26,38.763636386,40,1.2363636139999983,0.04579124600000001,82,158.5666667,160.3357576,31.71333333,32.06715152,4122.733333,8818.466667,-1.769090909,9.888888889,9.836363636,15.74074074,14.43636364,21,22,0.052525253,1.304377104,-1.2363636139999983,1.769090909,0.052525253,1.304377104,1.8896296520000018,True,1.8896296520000018,Included in tanking score
2022-23,1610612764,WAS,Washington Wizards,24,58,0.291666667,0.482758621,7,28,39.586206922,35,-4.586206922000002,-0.191091954,82,161.8194444,159.8149425,32.36388889,31.96298851,3883.666667,9269.266667,2.004501916,10.56521739,10.64285714,14.91304348,15.69642857,18,25,-0.077639752,-0.783385093,4.586206922000002,-2.004501916,-0.077639752,-0.783385093,1.720680161000002,True,1.720680161000002,Included in tanking score
2022-23,1610612754,IND,Indiana Pacers,22,60,0.409090909,0.433333333,9,26,35.533333305999996,35,-0.5333333059999958,-0.024242423999999985,82,151.9909091,155.025,30.39818182,31.005,3343.8,9301.5,-3.034090909,10.04545455,10.71929825,14.59090909,15.85964912,18,23,-0.6738437,-1.268740032,0.5333333059999958,3.034090909,-0.6738437,-1.268740032,1.624840482999996,True,1.624840482999996,Included in tanking score
2021-22,1610612754,IND,Indiana Pacers,22,60,0.227272727,0.333333333,5,20,27.333333306,25,-2.333333306,-0.106060606,82,163.1106061,162.0191667,32.62212121,32.40383333,3588.433333,9721.15,1.091439394,9.476190476,10.44,16.47619048,16.56,21,20,-0.963809524,-0.083809524,2.333333306,-1.091439394,-0.963809524,-0.083809524,0.19427486400000013,True,0.19427486400000013,Included in tanking score
2024-25,1610612765,DET,Detroit Pistons,27,55,0.555555556,0.527272727,15,29,43.236363614000005,44,0.7636363859999946,0.0282828289999999,82,153.3123457,154.8651515,30.66246914,30.9730303,4139.433333,8517.583333,-1.552805836,10.96296296,10.63636364,16.74074074,17.36363636,22,25,0.326599327,-0.622895623,-0.7636363859999946,1.552805836,0.326599327,-0.622895623,0.49287315400000553,False,0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612748,MIA,Miami Heat,36,36,0.611111111,0.5,22,18,36.0,40,4.0,0.11111111100000004,72,160.2583333,164.5138889,32.05166667,32.90277778,5769.3,5922.5,-4.255555556,10.36666667,9.96,14.63333333,15.16,19,25,0.406666667,-0.526666667,-4.0,4.255555556,0.406666667,-0.526666667,0.13555555600000002,False,0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612749,MIL,Milwaukee Bucks,36,36,0.666666667,0.611111111,24,22,43.999999992,46,2.0000000080000007,0.05555555599999995,72,156.2259259,154.6472222,31.24518519,30.92944444,5624.133333,5567.3,1.578703704,11.12903226,11.08,19.12903226,18.76,26,26,0.049032258,0.369032258,-2.0000000080000007,-1.578703704,0.049032258,0.369032258,-3.160639196000001,False,-0.0,Playoff/above-.500 team: score set to 0
2020-21,1610612744,GSW,Golden State Warriors,35,37,0.571428571,0.513513514,20,19,36.972973008,39,2.0270269920000032,0.05791505699999999,72,161.5685714,150.6788288,32.31371429,30.13576577,5654.9,5575.116667,10.8897426,10.06896552,11.13043478,14.65517241,13.73913043,20,21,-1.061469265,0.916041979,-2.0270269920000032,-10.8897426,-1.061469265,0.916041979,-13.062196878000004,False,-0.0,Playoff/above-.500 team: score set to 0
